Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Mark-to-Market Performance Summary,Data,Stocks,ORCL,152,144,229.2800,198.5200,-4523.04,10.32,-1.001328,76,-4437.721328,
Mark-to-Market Performance Summary,Data,Stocks,ORLY,40,40,93.1200,93.8000,27.2,0,0,0,27.2,
Mark-to-Market Performance Summary,Data,Stocks,PANW,53,33,190.7200,189.0200,106.3,-74.6,-1.00332,0,30.69668,
Mark-to-Market Performance Summary,Data,Stocks,PCAR,38,38,95.8900,118.8000,870.58,0,0,78.28,948.86,
Mark-to-Market Performance Summary,Data,Stocks,PDD,45,113,102.4100,120.5500,1015.54,-47.6,-1,0,966.94,
Mark-to-Market Performance Summary,Data,Stocks,PEP,0,53,--,139.9100,-270.83,-32.33,-1,0,-304.16,
Mark-to-Market Performance Summary,Data,Stocks,PFE,0,514,--,25.4800,-282.7,149.06,-2.57,0,-136.21,
Mark-to-Market Performance Summary,Data,Stocks,PG,70,78,153.7600,141.8700,-844.94,-14.88,-1,147.96,-712.86,
Mark-to-Market Performance Summary,Data,Stocks,PH,6,6,712.0900,920.9900,1253.4,0,0,21.6,1275,
Mark-to-Market Performance Summary,Data,Stocks,PLTR,126,57,149.1500,177.4900,3865.47,-231.15,-1.011454,0,3633.308546,
Mark-to-Market Performance Summary,Data,Stocks,PPG,0,65,--,107.4100,414.7,-19.5,-1,0,394.2,
Mark-to-Market Performance Summary,Data,Stocks,Q,0,28,--,90.3100,-187.32,0,0,1.68,-185.64,
Mark-to-Market Performance Summary,Data,Stocks,QCOM,42,118,154.2900,177.7800,1212.3,-18.24,-1,74.76,1267.82,
Mark-to-Market Performance Summary,Data,Stocks,REGN,6,6,570.5900,796.5500,1355.76,0,0,10.56,1366.32,
Mark-to-Market Performance Summary,Data,Stocks,ROIV,0,155,--,21.9800,156.55,-54.25,-1,0,101.3,
Mark-to-Market Performance Summary,Data,Stocks,ROP,6,6,548.3300,434.8100,-681.12,0,0,10.41,-670.71,
Mark-to-Market Performance Summary,Data,Stocks,ROST,0,14,--,191.4400,189.98,4.76,-1,5.67,199.41,
Mark-to-Market Performance Summary,Data,Stocks,RTX,0,45,--,188.5000,783,-24.75,-1,0,757.25,
Mark-to-Market Performance Summary,Data,Stocks,SAP,35,69,300.6400,247.1100,-1878.65,14.28,-1,0,-1865.37,
Mark-to-Market Performance Summary,Data,Stocks,SBUX,61,61,93.4200,88.8800,-276.94,0,0,75.03,-201.91,
Mark-to-Market Performance Summary,Data,Stocks,SE,0,48,--,133.5200,-22.56,-66.72,-1,0,-90.28,
Mark-to-Market Performance Summary,Data,Stocks,SHW,11,11,344.5000,353.2800,96.58,0,0,17.38,113.96,
Mark-to-Market Performance Summary,Data,Stocks,SLB,143,173,36.2200,45.2000,1486.34,6,-1,81.52,1572.86,
Mark-to-Market Performance Summary,Data,Stocks,SNY,0,189,--,49.0300,-94.5,-35.91,-1,0,-131.41,
Mark-to-Market Performance Summary,Data,Stocks,SOLS,0,6,--,53.0300,25.74,0,0,0,25.74,
Mark-to-Market Performance Summary,Data,Stocks,SPGI,0,17,--,541.9400,738.14,26.35,-1,0,763.49,
Mark-to-Market Performance Summary,Data,Stocks,SPSK,5168,5168,18.2300,18.2800,258.4,0,0,2434.3,2692.7,
Mark-to-Market Performance Summary,Data,Stocks,SW,89,89,46.3900,42.9800,-303.49,0,0,76.68,-226.81,
Mark-to-Market Performance Summary,Data,Stocks,SYK,0,17,--,367.5400,59.84,-74.46,-1,14.96,-0.66,
Mark-to-Market Performance Summary,Data,Stocks,TER,0,33,--,217.2600,544.17,-23.1,-1,0,520.07,
Mark-to-Market Performance Summary,Data,Stocks,TGT,92,92,104.8700,105.5200,59.8,0,0,209.76,269.56,
Mark-to-Market Performance Summary,Data,Stocks,TJX,49,43,123.5600,157.8100,1651.07,-17.94,-1.000996,41.66,1673.789004,
